"Flightid";"Routecode";"Origin";"Destination";"Flightdate";"Flightdurationmins";"Aircrafttype";"Seatsavailable";"Seatssold";"Revenue";"Operationalcost"
184;"IXC-DEL";"IXC";"DEL";"2022-01-23";68;"Airbus A321";220;144;513504.0;388847.61
185;"GOI-DEL";"GOI";"DEL";"2023-09-05";135;"Boeing 737-800";189;125;421375.0;331486.79
186;"MAA-BOM";"MAA";"BOM";"2023-05-29";142;"Airbus A320neo";186;113;1262210.0;1052990.83
187;"AMD-BOM";"AMD";"BOM";"2022-01-31";240;"ATR 72";78;53;208449.0;174874.53
188;"PNQ-HYD";"PNQ";"HYD";"2022-12-10";162;"ATR 72";78;60;258540.0;204296.87
189;"CCU-DEL";"CCU";"DEL";"2023-08-30";198;"ATR 72";78;65;669110.0;483032.66
190;"JAI-DEL";"JAI";"DEL";"2024-01-29";239;"Airbus A321";220;148;881932.0;613366.9
191;"CCU-DEL";"CCU";"DEL";"2023-04-09";174;"Boeing 787-8";256;214;848082.0;480217.03
192;"IXB-CCU";"IXB";"CCU";"2025-09-22";165;"Airbus A320";180;159;1877631.0;1387264.89
193;"PNQ-HYD";"PNQ";"HYD";"2024-05-05";199;"Boeing 737-800";189;134;1189652.0;740251.76
194;"CCU-DEL";"CCU";"DEL";"2024-05-15";211;"ATR 72";78;69;230736.0;151468.27
195;"IXC-DEL";"IXC";"DEL";"2026-01-27";173;"Airbus A321";220;127;1142492.0;849024.47
196;"MAA-BOM";"MAA";"BOM";"2022-01-23";79;"Boeing 737 MAX 8";186;175;1458625.0;1044246.94
197;"TRV-MAA";"TRV";"MAA";"2026-08-17";208;"Airbus A321";220;219;660066.0;428462.7
198;"BOM-DEL";"BOM";"DEL";"2023-05-21";213;"Boeing 737 MAX 8";186;155;655030.0;400665.58
199;"GOI-DEL";"GOI";"DEL";"2022-08-21";87;"Boeing 737-800";189;110;1033670.0;893741.93
200;"IXC-DEL";"IXC";"DEL";"2025-03-26";61;"Airbus A321";220;135;1183275.0;904269.03
201;"TRV-MAA";"TRV";"MAA";"2026-07-29";215;"Airbus A321";220;136;1301520.0;1102997.46
202;"BLR-HYD";"BLR";"HYD";"2023-04-09";183;"Airbus A320neo";186;107;1151962.0;806458.99
203;"CCU-DEL";"CCU";"DEL";"2024-10-10";112;"Boeing 787-8";256;182;1220492.0;1077523.87
204;"NAG-BOM";"NAG";"BOM";"2023-02-17";176;"Airbus A320neo";186;163;1258360.0;904842.6
205;"BOM-DEL";"BOM";"DEL";"2025-01-17";122;"ATR 72";78;44;317680.0;224327.7
206;"NAG-BOM";"NAG";"BOM";"2023-02-07";77;"Boeing 737 MAX 8";186;133;983269.0;795639.56
207;"IXB-CCU";"IXB";"CCU";"2024-01-16";177;"Airbus A320neo";186;181;1502843.0;1159632.04
208;"TRV-MAA";"TRV";"MAA";"2022-08-03";65;"Airbus A320neo";186;150;1051200.0;797876.98
209;"TRV-MAA";"TRV";"MAA";"2023-09-01";79;"Airbus A320neo";186;166;1051278.0;793747.02
210;"LKO-BOM";"LKO";"BOM";"2024-07-15";103;"Airbus A320neo";186;117;1327014.0;1162495.28
211;"BLR-HYD";"BLR";"HYD";"2025-12-24";55;"ATR 72";78;64;436800.0;341109.92
212;"IXB-CCU";"IXB";"CCU";"2026-03-26";238;"Boeing 737-800";189;111;852147.0;522859.83
213;"LKO-BOM";"LKO";"BOM";"2026-06-25";228;"Airbus A320";180;100;550000.0;439600.96
214;"JAI-DEL";"JAI";"DEL";"2025-07-20";171;"Airbus A320";180;99;492624.0;294867.34
215;"BLR-HYD";"BLR";"HYD";"2023-10-15";224;"ATR 72";78;64;439424.0;375201.58
216;"BLR-HYD";"BLR";"HYD";"2025-11-16";228;"Boeing 737-800";189;115;907925.0;666314.42
217;"AMD-BOM";"AMD";"BOM";"2026-03-07";203;"Airbus A320neo";186;121;1236620.0;907971.89
218;"BOM-DEL";"BOM";"DEL";"2022-09-03";217;"Airbus A320neo";186;185;1373440.0;1209172.01
219;"IXB-CCU";"IXB";"CCU";"2025-07-31";57;"Airbus A321";220;156;1505244.0;1076168.41
220;"BOM-DEL";"BOM";"DEL";"2026-05-11";170;"Airbus A320neo";186;129;733494.0;526588.7
221;"MAA-BOM";"MAA";"BOM";"2024-09-16";109;"Boeing 787-8";256;144;700128.0;600546.78
222;"BOM-DEL";"BOM";"DEL";"2024-08-12";217;"Boeing 737-800";189;114;986784.0;739156.48
223;"CCU-DEL";"CCU";"DEL";"2024-07-06";147;"Airbus A320";180;127;1160399.0;671140.24
224;"COK-BLR";"COK";"BLR";"2026-11-15";83;"Airbus A320neo";186;170;1300160.0;818780.99
225;"JAI-DEL";"JAI";"DEL";"2025-11-29";208;"Boeing 737-800";189;106;766274.0;614192.48
226;"CCU-DEL";"CCU";"DEL";"2024-04-21";103;"Boeing 737 MAX 8";186;122;1021872.0;571315.13
227;"AMD-BOM";"AMD";"BOM";"2025-04-16";62;"Airbus A320";180;116;466436.0;374653.79
228;"MAA-BOM";"MAA";"BOM";"2025-02-24";227;"Airbus A320neo";186;104;825864.0;629093.9
229;"NAG-BOM";"NAG";"BOM";"2023-10-05";83;"Airbus A321";220;180;1149300.0;1019920.44
230;"COK-BLR";"COK";"BLR";"2023-09-05";66;"ATR 72";78;77;834064.0;578270.84
231;"COK-BLR";"COK";"BLR";"2022-03-10";161;"Boeing 737 MAX 8";186;161;775537.0;487722.48
232;"AMD-BOM";"AMD";"BOM";"2025-01-05";164;"Boeing 737 MAX 8";186;115;427800.0;329689.17
233;"PNQ-HYD";"PNQ";"HYD";"2022-10-29";78;"ATR 72";78;56;292264.0;254271.31
234;"COK-BLR";"COK";"BLR";"2024-03-15";131;"Airbus A321";220;148;614052.0;517035.19
235;"GOI-DEL";"GOI";"DEL";"2022-03-26";123;"Airbus A321";220;196;1058988.0;695455.97
236;"BOM-DEL";"BOM";"DEL";"2026-06-03";135;"Airbus A321";220;184;1960520.0;1349992.43
237;"LKO-BOM";"LKO";"BOM";"2024-02-23";114;"ATR 72";78;61;625555.0;354662.26
238;"CCU-DEL";"CCU";"DEL";"2026-11-11";101;"Airbus A320";180;100;921800.0;814256.38
239;"AMD-BOM";"AMD";"BOM";"2025-08-30";175;"ATR 72";78;69;591675.0;495842.04
240;"PNQ-HYD";"PNQ";"HYD";"2022-06-26";172;"Boeing 737-800";189;142;1129468.0;837895.17
241;"BLR-HYD";"BLR";"HYD";"2025-01-22";160;"Airbus A320neo";186;105;514815.0;446141.97
242;"IXB-CCU";"IXB";"CCU";"2022-01-09";52;"Airbus A321";220;175;851900.0;703862.19
243;"NAG-BOM";"NAG";"BOM";"2024-10-03";166;"ATR 72";78;61;439139.0;254890.42
244;"LKO-BOM";"LKO";"BOM";"2024-07-26";169;"Boeing 787-8";256;161;1468320.0;1110145.65
245;"GOI-DEL";"GOI";"DEL";"2025-01-24";68;"Airbus A320neo";186;175;1215375.0;678772.11
246;"DEL-BLR";"DEL";"BLR";"2022-01-24";178;"Airbus A320neo";186;141;391557.0;322524.48
247;"BLR-HYD";"BLR";"HYD";"2025-11-13";130;"Airbus A320";180;173;2001783.0;1178109.03
248;"AMD-BOM";"AMD";"BOM";"2024-12-22";70;"Boeing 737-800";189;176;792352.0;554622.99
249;"DEL-BLR";"DEL";"BLR";"2022-08-28";186;"ATR 72";78;70;754880.0;577801.69
